Name,Type,Hours,Accessible,Lat,Long
Laid Back Bikes,bicycle,,,55.9378764,-3.1928940
La Croissanterie,bakery,,,55.9334740,-3.1781896
Revitalize,massage,,,55.9334249,-3.1781519
Mathieson,butcher,,,55.9333253,-3.1780752
Rose MacDonald,dry_cleaning,,,55.9333503,-3.1780944
Spirit Hair and Beauty,hairdresser,,,55.9335581,-3.1782544
Blackwells,books,,yes,55.9103355,-3.3217849
"Your Union, Your Shop",convenience,,yes,55.9102993,-3.3219353
Poundstretcher Extra,variety_store,,,55.9574545,-3.1661424
B&M,yes,,,55.9583952,-3.1660569
,car,,,55.9407568,-3.3062908
Homebase,garden_centre,,,55.9596855,-3.2406519
Salon Dorcas,hairdresser,,,55.9376966,-3.2190484
Scotmid Leith Walk,convenience,Mo-Su 07:00-24:00,,55.9669346,-3.1745997
Scotmid Pilrig,convenience,Mo-Su 06:00-23:00,,55.9634613,-3.1785294
Tesco Express,convenience,Mo-Su 06:00-24:00,yes,55.9613043,-3.1803525
Polish Mini Market,deli,,,55.9664048,-3.1750167
Accessorize,accessories,,,55.9527974,-3.1931504
British Home Stores,department_store,,,55.9523936,-3.1955684
Great Scot,gift,,,55.9523454,-3.1958602
Holland & Barrett,chemist,,,55.9532149,-3.1907376
Fraser Hart,jewelry,,,55.9522686,-3.1963245
H&M,clothes,,,55.9529061,-3.1925362
Kanoo Travel,travel_agency,,,55.9528075,-3.1931015
M&S,department_store,,,55.9525480,-3.1946349
Monsoon,clothes,,,55.9527851,-3.1932100
O2,mobile_phone,,,55.9523265,-3.1959745
Romanes & Paterson,clothes,,,55.9524646,-3.1951393
Swatch,jewelry,,,55.9528399,-3.1929444
EE,mobile_phone,,,55.9531814,-3.1909324
The Works,books,,,55.9524411,-3.1952812
Topshop / Topman,clothes,,,55.9530130,-3.1919454
Vodafone,mobile_phone,,,55.9531511,-3.1911639
Dr. Martens,shoes,,,55.9522882,-3.1962061
Whittard,tea,,,55.9531653,-3.1910296
3 Store,mobile_phone,,,55.9523064,-3.1960960
Costcutter: Bellevue Express,newsagent,,,55.9625319,-3.1886928
Mathiesons Bakers,bakery,,,55.9057929,-3.2224600
Sideburns Barber Shop,hairdresser,,,55.9057993,-3.2223552
St Columba's Hospice,books,,,55.9702171,-3.2078338
Kim O'Donnell,hairdresser,,,55.9237034,-3.2369454
U Save,convenience,Mo-Fr 06:30-20:00; Sa 07:00-20:00; Su 07:30-20:00,,55.9093750,-3.2328470
Soul Cycles,bicycle,,,55.9428777,-3.2013260
Murray & Murray,kitchen,,,55.9364996,-3.2077443
Ideal Computing,computer,,,55.9376995,-3.2062851
Scotbet,bookmaker,,,55.9340527,-3.1781594
C'est Si Bon,boutique,,,55.9361521,-3.2093092
CHI,boutique,,,55.9360662,-3.2095217
Craig Davidson Hair,hairdresser,,,55.9359802,-3.2097544
Greggs,bakery,,,55.9360042,-3.2097006
M.W. Christie,butcher,,,55.9360917,-3.2094667
News Plus,newsagent,,,55.9360168,-3.2096610
Oddbins,alcohol,,,55.9361953,-3.2092458
A la carte,deli,,,55.9365153,-3.2083716
Albany Lettings,estate_agent,,,55.9364173,-3.2086379
Caroline Temple,jewelry,,,55.9365314,-3.2083346
Cheynes,hairdresser,,,55.9363261,-3.2088942
Tippi,antiques,,,55.9366264,-3.2081482
Coco,confectionery,,,55.9363481,-3.2088249
Costcutter,convenience,Mo-Sa 08:00-23:00; Su 08:00-13:00,,55.9367462,-3.2079475
Fabulous Jewels,jewelry,,,55.9363987,-3.2086861
Snapdragon,florist,,,55.9366036,-3.2081876
Boombarbers,hairdresser,,,55.9367162,-3.2079832
Moss Green,art,,,55.9366712,-3.2080634
Belquin Hearing,hearing_aids,,,55.9364359,-3.2085775
Edinburgh Letting Centre,estate_agent,,,55.9364528,-3.2085263
Rosie Brown,jewelry,,,55.9365842,-3.2082378
White Blossom Paper Boutique,gift,,,55.9369760,-3.2078284
All About Eve,hairdresser,,,55.9370084,-3.2075009
Art Clay Scotland Jewellery Studio,jewelry,,,55.9369932,-3.2075371
Beauty Boutique,beauty,,,55.9375747,-3.2064905
Cuckoo's Bakery,bakery,,,55.9370406,-3.2074419
Framers,frame,,,55.9376120,-3.2064249
Halibut and Herring,gift,,,55.9371244,-3.2073044
Artisan Cheesecakes,confectionery,,,55.9371701,-3.2072197
R. C. Cunning,optician,,,55.9370651,-3.2074041
Stitches,tailor,,,55.9375127,-3.2066031
Swinton,insurance,,,55.9373267,-3.2069794
The Bay Tree Company,card,,,55.9371032,-3.2073331
Very Vintage,antiques,,,55.9372598,-3.2070668
esq barbers,hairdresser,,,55.9373589,-3.2070081
Curiouser,gift,,,55.9371523,-3.2072499
Accommodate Edinburgh,estate_agent,,,55.9393466,-3.2048703
Davison Kilt Hire & Sales,clothes,,,55.9394502,-3.2048172
Hill's,pet,,,55.9393778,-3.2048508
The Salvation Army,charity,,,55.9392807,-3.2048838
The Dress Fabric Company,clothes,,,55.9392499,-3.2048942
Harlequin Antiques,antiques,,,55.9395169,-3.2047913
Drinkmonger,alcohol,,,55.9400784,-3.2044006
,vacant,,,55.9399512,-3.2045223
Pedals,bicycle,,,55.9402034,-3.2043021
JFK,hairdresser,,,55.9404121,-3.2041646
Kilmour Thomson,hairdresser,,,55.9397393,-3.2046950
Valerio,hairdresser,,,55.9406741,-3.2038827
Riva,hairdresser,,,55.9401161,-3.2043806
Nordic Outdoor,outdoor,,,55.9398212,-3.2046309
Thrift Shop,charity,,,55.9402233,-3.2042920
Young Antiques,antiques,,,55.9400502,-3.2044226
Zen Lifestyle,yes,,,55.9401356,-3.2043625
Jason Hall Hairdressing,hairdresser,,,55.9280735,-3.2295806
Just Giles Too,hairdresser,,,55.9278766,-3.2298462
The Zone,beauty,,,55.9280344,-3.2296343
Just Bike Repairs,bicycle,,,55.9034518,-3.2847195
Earthy,convenience,,,55.9340921,-3.1776666
Scotmid,convenience,,,55.9357488,-3.2212709
Munro Glazing,glaziery,,,55.9396401,-3.2204394
National Tyres & Autocare,car_repair,,,55.9341936,-3.1793706
La Quinta,deli,,,55.9337928,-3.2108378
Everyone's Designs,paper,,,55.9346723,-3.2099053
Acanthus,furniture,,,55.9349001,-3.2098775
Maddie & Mark's Shoes,shoes,,,55.9348265,-3.2098825
The Edinburgh Bookshop,books,,,55.9346065,-3.2098926
Trinity Factors,estate_agent,,,55.9347253,-3.2099015
Vivaldi,boutique,,,55.9346298,-3.2098952
George Hughes,seafood,,,55.9349631,-3.2098712
ACE Property Management,estate_agent,,,55.9355674,-3.2097378
181 Delicatessen,deli,Mo-Sa 08:45-18:00,,55.9354599,-3.2098009
Gulliver's Toys and Gifts,toys,,,55.9357386,-3.2095256
MvDonald Green,jewelry,,,55.9357960,-3.2093992
,vacant,,,55.9364853,-3.2078154
Links Barbers,hairdresser,Mo-We 09:15-17:00;Th 09:15-18:00;Fr 09:15-17:00;Sa 09:00-15:00;Su off,,55.9364574,-3.2078682
